ก.แกรู้ไหมอ้ายหมอนั่นสอบตกอีกแล้ว|abbreviation,example sentence
กรรโชก|verb,noun
กรรณ|noun,formal,formal
กรรตุ|noun,formal,loanword,Pali
กรรตุ|
กรรตุวาจก|noun,phrase,formal,loanword,Pali
กรรตุการก|noun
กรรม|noun,formal,loanword,Sanskrit,loanword,Pali,particle,formal,loanword,Pali,formal,loanword,Pali
กรรม|
กรรมการ|noun
กรรมการ|noun
กรรมการต่อเวลาแข่งขัน|example sentence
กรรมการผู้จัดการ|noun
กรรมการผู้จัดการใหญ่ออกโรงเปิดแถลงข่าวเคลียร์ปัญหาคาใจให้สิ้นซาก|example sentence
กรรมการยุติการชกเพราะพี่เลี้ยงโยนผ้า|example sentence
กรรมการสาบานว่าจะไม่กล่าวความเท็จและจะคงอยู่บนความสัตย์จริง|example sentence,formal
กรรมการสิทธิมนุษชนบางคนอุตส่าห์แอบซ่อนท่าทีมาตั้งนานอ้างว่าตัวเองเป็นกลางไม่ฝักใฝ่ฝ่ายใด|example sentence
กรรมเก่า|noun
กรรมฐาน|noun,phrase
กรรมใดใครก่อกรรมนั้นย่อมสนอง|example sentence,idiom
กรรมตามทัน|phrase
กรรมตามสนอง|example sentence,idiom
กรรมติดจรวด|noun,colloquial
กรรมนิยม|adjective
กรรมพันธุ์|noun
กรรมพันธุ์|adjective
กรรมพิธี|noun
กรรมวาจก|noun,phrase,loanword,Pali
กรรมวิธี|noun
กรรมวิธีเชิงเคมี|noun
กรรมวิธีทางวิทยาศาสตร์|noun
กรรมเวร|noun
กรรมสิทธิ์|noun
กรรมกร|noun
กรรมกรอู่ต่อเรือ|noun
กรรมการก|noun
กรรมาชีพ|verb,noun
กรรมาธิการ|noun
กรรรร|interjection,onomatopoeia
กร๊วก|noun
กรวด|noun,verb,transitive,poetic
กรวดขนาดเม็ดถั่ว|noun
กรวดทราย|noun
กรวดน้ำ|verb
กรวดน้ำคว่ำขัน|phrase,colloquial,idiom
กรวดในรองเท้า|noun
กรวดเลื่อนไหลลงไปอยู่ระหว่างลูกเทนนิสอัดจนแน่นเหยือก|example sentence
กร้วม|adjective,adverb,interjection,onomatopoeia
กรวย|noun
กรวยใส่ไอศกรีม|noun
กรอ|verb,adjective
กรอเทป|verb,colloquial
กรอฟัน|verb
กรอม้วนวิดีโอ|verb,colloquial
กรอ.|noun,abbreviation
กรอก|verb,transitive,noun
กรอกข้อความ|verb
กรอกความคิด|verb
กรอกตา|verb
กรอกยา|verb
กรอกรายการให้ครบ|phrase
กรอกหู|verb
กรอกเหล้า|verb
กร็อกกร๋อย|adjective
กรอกแกรก|noun,onomatopoeia
กรอง|verb,poetic,noun
กรองกระแส|noun
กรองกายภาพ|noun
กรองชีวภาพ|noun
กรองทอง|noun
กรองทอง|proper noun
กรองมาลย์|noun,adjective
กร๋องกร๋อย|
กร่องแกร่ง|adjective
กรอด|adjective,verb
กร่อน|verb
กร่อนเซาะ|verb
กรอบ|adjective,noun,adverb,classifier
กรอบเช็ดหน้า|noun
กรอบติดหลังคารถ|noun
กรอบรูป|noun,formal
กรอบแว่น|noun
กรอบหน้า|noun
กร่อย|adjective
กรอส|adjective,loanword,English
กระ|prefix,noun,proper noun,geographical
กระจิ๋ว|
กระจิ๋วหลิว|adjective
กระจู๋|noun,colloquial
กระเจี๊ยว|noun,colloquial,vulgar
กระดอ|noun,colloquial,vulgar
กระดอน|verb,transitive
กระเด้า|verb
กระโดด|verb
กระโดดเชือก|verb
กระโดดน้ำ|verb
กระโดดร่ม|verb
กระโดดโลดเต้น|verb
กระโดดสูง|noun
กระทำ|verb
กระทำกับ|verb
กระทำการฆาตกรรม|verb
กระทำฆาตกรรม|verb
กระทำมิดีมิร้าย|verb
กระทำย่ำยี|verb,transitive
...กระทำให้ต่างฝ่ายต่างพยายามเบ่งบารมีใส่กันและเปิดศึกแย่งอำนาจแย่งเก้าอี้ตัวสำคัญทั้งในรัฐบาลและรัฐสภาอย่างไม่ลดราวาศอกกัน|example sentence
กระนั้น|adverb
กระไร|adverb,ancient
กระไร|adverb,ancient
กระไร|interjection,ancient
กระไร|auxiliary verb,ancient
กระหาย|verb
กระหายข่าว|verb
กระหายความสำเร็จ|verb,phrase
กระหายน้ำ|noun,adjective
กระหายเลือด|adjective
กระหายสงคราม|adjective
กระหืดกระหอบ|verb,intransitive
กระโหล่บางตายช้ากระโหล่หนาตายก่อน|example sentence,idiom
กระจก|noun
กระจกกันกระสุน|noun
